rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,3,74.84316563606262,success,0.23431992530822754,0.12_0.12_0.13_0.1_0.37,0.74_0.73_0.74_0.74_0.68,14.386634016036988,0.169037066470567,0.9,0.32,0.62,0.18,0.99,0.36,0.7252816874649136,1746729511.5582101,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.001,logistic
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,31.05119276046753,fail,0.030714893341064455,0.84_0.42_0.36_nan_0.81,0.52_0.51_0.51_0.5_0.51,6.100877952575684,-inf,0.75,0.78,0.65,0.77,0.89,0.9,0.5104228055732489,1746729436.611069,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.1,,PCA,5,,0.000415802001953125,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746729405.456628,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,1,15.861317873001099,success,1.5443454265594483,0.17_0.38_0.3_0.07_0.29,0.57_0.59_0.59_0.54_0.59,0.019828271865844727,0.2429414790595013,0.8,0.42,0.53,0.26,0.86,0.36,0.5759113500170017,1746729405.3511102,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,0.1,,PCA,2,,0.00045800209045410156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746729389.3892174,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,2.0,,FunctionTransformer,,,145.07182002067566,success,0.03565964698791504,0.76_0.32_0.44_0.49_0.63,0.52_0.5_0.49_0.5_0.5,28.852851486206056,0.5299156487485028,0.78,0.75,0.88,0.8,0.64,0.65,0.5005440830020186,1746729389.2721064,,MLPClassifier,sgd,10,,5,,,,,,,invscaling,,,1e-05,logistic
SMOTE,,8,rebalancing_features_mitigation_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,8,5.025576114654541,success,0.3996901988983154,0.19_0.15_0.18_0.13_0.15,0.71_0.74_0.73_0.76_0.74,0.12403054237365722,0.16059419050348048,0.71,0.3,0.39,0.16,1.0,0.43,0.7363379607403877,1746729242.9675927,distance,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
SMOTE,,7,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,0.5,10,0.1,,SelectKBest,,8,270.2402687072754,success,0.04232292175292969,0.59_0.17_0.29_0.55_0.65,0.7_0.78_0.8_0.77_0.7,53.93833155632019,0.44942042665084203,0.86,0.56,0.58,0.49,1.0,0.63,0.7510673466573913,1746729237.8226779,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,15.041436910629272,success,1.397536563873291,0.1_0.09_0.1_0.11_0.06,0.75_0.76_0.76_0.76_0.76,0.1889962673187256,0.09210225153515425,0.73,0.21,0.4,0.09,1.0,0.51,0.7577897674051641,1746728967.4788728,uniform,KNeighborsClassifier,,,7,,,,manhattan,,,,,,,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.5599555969238281,success,0.054107952117919925,0.56_0.73_0.7_0.71_0.7,0.57_0.57_0.57_0.57_0.57,0.1508619785308838,0.6806048624915654,1.0,0.71,0.88,0.85,0.88,0.76,0.5696479534288327,1746728952.3341737,distance,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,6,,72.02159857749939,success,0.014243888854980468,0.18_0.06_0.08_0.11_0.08,0.73_0.74_0.74_0.75_0.73,14.323146772384643,0.10099559764952826,0.95,0.26,0.44,0.11,0.98,0.19,0.7383950107803582,1746728950.6685796,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,1e-05,logistic
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.061938524246216,success,0.018854475021362303,0.02_0.03_0.02_0.02_0.01,0.7_0.7_0.71_0.7_0.7,0.7200787544250489,0.020189644320076895,0.49,0.03,0.26,0.02,1.0,0.05,0.7021554062130402,1746728878.5464206,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,False,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,8,12.070081233978271,success,0.3698172092437744,0.67_0.63_0.67_0.64_0.61,0.52_0.54_0.51_0.54_0.52,1.6131799221038818,0.6453325478168109,0.65,0.93,0.71,0.94,0.79,0.9,0.5273323446214777,1746728874.3796203,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
NearMiss,1,,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,0.1,,SelectKBest,,5,1.2870533466339111,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746728862.2160757,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
NearMiss,4,,mitigation_features_rebalancing_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,200,0.5,,SelectKBest,,3,36.28471374511719,success,0.027608728408813475,0.38_0.31_0.85_0.93_0.8,0.53_0.51_0.51_0.5_0.5,4.9324541091918945,0.6545804640727443,0.79,0.81,0.65,0.79,0.89,0.97,0.5092301779469391,1746728859.59952,,MLPClassifier,adam,10,,5,,,,,,,invscaling,,,0.001,logistic
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,5,13.272802591323853,success,0.009832143783569336,0.14_0.12_0.14_0.15_0.14,0.77_0.77_0.78_0.78_0.77,2.580325984954834,0.13738762330724233,0.91,0.25,0.57,0.14,0.99,0.24,0.7742502161271972,1746728823.2117126,,MLPClassifier,sgd,10,,1,,,,,,,constant,,,0.001,logistic
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,1.0,,PCA,4,,137.64883494377136,success,0.032359886169433597,0.24_0.42_0.35_0.59_0.32,0.66_0.67_0.71_0.7_0.63,27.413977336883544,0.3843354223574922,0.99,0.55,0.82,0.5,0.85,0.4,0.6730781431789664,1746728809.8465037,,RandomForestClassifier,,,,,50,6,,4,2,1,,entropy,False,,
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,3.563272714614868,success,0.26468515396118164,0.19_0.14_0.15_0.14_0.14,0.72_0.74_0.76_0.76_0.74,0.11231417655944824,0.1530226756909888,0.74,0.26,0.41,0.15,1.0,0.35,0.7466734365124662,1746728672.111313,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,
NearMiss,1,,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,9,326.4592795372009,success,0.1702718734741211,0.31_0.3_0.3_0.33_0.3,0.77_0.77_0.78_0.79_0.77,64.85441379547119,0.3070541297996475,0.79,0.37,0.53,0.32,1.0,0.48,0.7784097470011012,1746728668.4567056,,MLPClassifier,lbfgs,25,,10,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,21.221726417541504,success,0.03238964080810547,0.87_0.64_0.77_0.56_0.67,0.52_0.51_0.52_0.49_0.51,4.126433038711548,0.7029626522832336,0.89,0.91,0.84,0.92,0.88,0.86,0.511192160163788,1746728341.9127388,,RandomForestClassifier,,,,,50,6,,3,4,3,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,18.902223587036133,fail,0.12525463104248047,nan_nan_nan_nan_1.0,0.5_0.5_0.5_0.5_0.5,3.4473567485809324,-inf,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1746728320.587136,,MLPClassifier,adam,10,,10,,,,,,,adaptive,,,0.001,logistic
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,200,2.0,,FunctionTransformer,,,33.81467533111572,success,0.026500844955444337,0.35_0.62_0.56_0.51_0.72,0.49_0.5_0.52_0.5_0.51,6.657911348342895,0.5506358854862905,0.81,0.83,0.65,0.77,0.91,0.9,0.5025000272155626,1746728301.6021564,,RandomForestClassifier,,,,,25,4,,3,4,5,,entropy,True,,
NearMiss,2,,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,16.317997694015503,success,1.0539906024932861,0.35_0.31_0.35_0.35_0.3,0.71_0.72_0.72_0.72_0.71,1.1178083419799805,0.33381277220138766,0.47,0.33,0.36,0.39,1.0,0.8,0.7184623790922207,1746728267.71027,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,5,10.890113592147827,success,0.028429317474365234,0.08_0.1_0.05_0.03_0.05,0.73_0.73_0.74_0.74_0.75,2.051550054550171,0.05972001616348732,0.8,0.1,0.46,0.07,1.0,0.08,0.7381659928967623,1746728250.4018302,,RandomForestClassifier,,,,,100,4,,4,4,5,,gini,True,,
NearMiss,2,,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,5,,0.00043964385986328125,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746728239.4393618,distance,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,56.36853504180908,success,0.0478935718536377,0.75_0.78_0.67_0.6_0.77,0.51_0.5_0.5_0.51_0.51,11.126494216918946,0.7157146928687719,0.91,0.92,0.83,0.94,0.83,0.83,0.5067221046760018,1746728239.3640835,,RandomForestClassifier,,,,,100,6,,4,2,4,,gini,False,,
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,4,,1.2287766933441162,success,0.02516512870788574,0.6_0.59_0.64_0.65_0.58,0.53_0.54_0.53_0.53_0.54,0.1404932975769043,0.6124256776136245,0.79,0.62,1.0,0.81,0.93,0.77,0.5346032527462748,1746728182.9239352,distance,KNeighborsClassifier,,,5,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,24.10296320915222,success,0.012257909774780274,0.03_0.04_0.04_0.05_0.09,0.74_0.74_0.75_0.74_0.75,4.7427483081817625,0.05093832364294683,0.72,0.2,0.34,0.05,1.0,0.25,0.7459434033665727,1746728181.6235328,,MLPClassifier,adam,10,,1,,,,,,,invscaling,,,0.01,tanh
NearMiss,1,,features_mitigation_rebalancing_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,100,0.1,,PCA,4,,0.00045108795166015625,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746728157.4543135,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,2.0,,PCA,7,,245.85250663757324,success,2.3887304782867433,0.0_0.0_0.0_0.0_0.0,0.5_0.5_0.5_0.5_0.5,44.32229056358337,0.0,0.46,0.27,0.2,0.2,0.0,0.0,0.49989496473960954,1746728157.3840125,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,7,131.01068139076233,success,0.016859102249145507,0.17_0.11_0.15_0.16_0.14,0.81_0.8_0.8_0.81_0.8,26.098012924194336,0.1456466194845916,0.87,0.24,0.57,0.15,1.0,0.35,0.8036253536720451,1746727911.4607189,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,0.0001,relu
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,900.0024304389954,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746727779.5885725,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,22.132701635360718,success,0.03325839042663574,0.67_0.39_0.67_0.7_0.47,0.47_0.49_0.48_0.5_0.49,4.307823038101196,0.5804181465104596,0.74,0.68,1.0,0.72,0.65,0.66,0.48802185227018774,1746726879.521903,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,86.68547320365906,success,0.01540827751159668,0.13_0.1_0.1_0.1_0.09,0.78_0.77_0.77_0.77_0.76,17.228618812561034,0.1055493860755721,0.75,0.24,0.45,0.11,1.0,0.31,0.7684281347363362,1746726857.307587,,MLPClassifier,adam,5,,10,,,,,,,invscaling,,,0.0001,relu
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,7.944429159164429,success,0.025141239166259766,0.04_0.03_0.04_0.02_0.02,0.78_0.78_0.78_0.79_0.78,1.486474370956421,0.03233984371193929,0.99,0.09,0.49,0.04,0.96,0.06,0.7824888166435142,1746726770.5578086,,RandomForestClassifier,,,,,75,2,,6,2,5,,gini,False,,
SMOTE,,6,normalization_features_rebalancing_mitigation_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,3.544079065322876,success,0.24501481056213378,0.19_0.13_0.17_0.2_0.11,0.71_0.75_0.73_0.73_0.74,0.16045632362365722,0.16083424890571377,0.77,0.29,0.44,0.16,1.0,0.41,0.731797223922227,1746726762.5525546,distance,KNeighborsClassifier,,,7,,,,manhattan,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,137.90270233154297,success,0.12480449676513672,0.04_0.05_0.03_0.03_0.22,0.72_0.71_0.72_0.71_0.65,27.271436500549317,0.07337498109126647,0.67,0.14,0.34,0.07,1.0,0.16,0.7010402978055661,1746726758.9469955,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,50,0.5,,PCA,4,,0.0005252361297607422,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746726620.9815767,,RandomForestClassifier,,,,,50,2,,6,3,4,,gini,True,,
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,1.5834109783172607,success,0.010443925857543945,0.0_0.02_0.0_0.02_0.02,0.73_0.74_0.73_0.76_0.75,0.22181134223937987,0.011917845514529143,0.84,0.02,0.47,0.01,1.0,0.01,0.7426354641992484,1746726620.9191146,,RandomForestClassifier,,,,,10,4,,4,3,3,,gini,True,,
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,0.5,,FunctionTransformer,,,98.20800423622131,success,0.04107999801635742,0.39_0.79_0.7_0.55_0.61,0.51_0.51_0.52_0.51_0.51,19.508800315856934,0.6075026659276762,0.8,0.82,0.68,0.83,0.92,0.83,0.5125786261147111,1746726618.583841,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,True,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,84.41717171669006,success,0.05134177207946777,0.39_0.71_0.56_0.6_0.25,0.53_0.5_0.52_0.5_0.5,13.146010875701904,0.503741156377161,0.71,0.74,0.58,0.71,0.87,0.89,0.5091969624594698,1746726520.314523,,RandomForestClassifier,,,,,100,4,,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,36.42627215385437,fail,0.03520979881286621,0.61_nan_0.68_0.68_0.62,0.53_0.5_0.52_0.5_0.5,6.869377613067627,-inf,0.82,0.86,0.66,0.82,0.94,0.94,0.5096514780595108,1746726435.8376784,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,3.4196712970733643,success,0.19150538444519044,0.14_0.17_0.2_0.19_0.17,0.65_0.66_0.65_0.67_0.66,0.24431519508361815,0.17418499286369477,0.25,0.17,0.56,0.33,1.0,0.88,0.656348551170668,1746726399.3518214,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,10,0.5,,PCA,7,,18.810482263565063,success,0.02784285545349121,0.34_0.14_0.69_0.75_0.74,0.51_0.5_0.51_0.51_0.51,3.652859926223755,0.5322501935397144,0.84,0.86,0.56,0.79,0.92,0.73,0.5084827440909512,1746726395.8739295,,RandomForestClassifier,,,,,25,4,,5,4,5,,gini,True,,
NearMiss,4,,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,33.03716707229614,success,0.0393639087677002,0.41_0.76_0.63_0.55_0.62,0.52_0.51_0.51_0.5_0.51,6.474789047241211,0.5941660873613155,0.85,0.86,0.74,0.89,0.83,0.79,0.5111778490780583,1746726377.005139,,RandomForestClassifier,,,,,100,4,,3,4,5,,entropy,True,,
NearMiss,1,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,116.3100106716156,success,0.03824491500854492,0.48_0.5_0.13_0.66_0.78,0.47_0.61_0.73_0.51_0.51,23.13646492958069,0.5079201560946754,0.75,0.77,0.65,0.73,0.84,0.82,0.5658865696099732,1746726343.9096653,,RandomForestClassifier,,,,,50,2,,6,4,5,,gini,False,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,50,0.5,,PCA,4,,55.66781044006348,success,0.03898615837097168,0.62_0.6_0.88_0.63_0.38,0.6_0.64_0.6_0.63_0.5,11.00570101737976,0.6226683990225281,0.85,0.84,0.79,0.86,0.84,0.73,0.5938565737943085,1746726227.542982,,RandomForestClassifier,,,,,75,3,,4,4,5,,entropy,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,5,122.14684081077576,success,0.03755440711975098,0.2_0.16_0.18_0.25_0.16,0.79_0.78_0.78_0.8_0.79,24.313189792633057,0.18872288298459836,0.87,0.26,0.54,0.19,1.0,0.43,0.7880539368087296,1746726171.0227022,,MLPClassifier,lbfgs,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,8.778474807739258,success,0.022181606292724608,0.23_0.24_0.23_0.28_0.21,0.66_0.68_0.67_0.66_0.66,1.6581807613372803,0.2376712353162509,0.5,0.24,0.47,0.3,1.0,0.79,0.6658849204631444,1746726048.822502,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.311248540878296,success,0.32735414505004884,0.35_0.34_0.34_0.4_0.36,0.52_0.53_0.52_0.52_0.53,0.1520289421081543,0.35676051252314805,0.56,0.36,0.99,0.66,0.97,0.81,0.520965370664285,1746726039.9913075,uniform,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,3,5.779723882675171,success,0.5348350524902343,0.12_0.07_0.08_0.14_0.23,0.61_0.74_0.75_0.69_0.63,0.029416608810424804,0.12940059412643748,0.73,0.24,0.43,0.13,1.0,0.34,0.6852705800677538,1746726035.6295917,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,150.00614404678345,success,0.037332677841186525,0.44_0.68_0.06_0.25_0.1,0.67_0.6_0.7_0.73_0.73,29.87507300376892,0.3058025604297844,0.98,0.5,0.8,0.44,0.73,0.37,0.6870577813477474,1746726029.7988348,,RandomForestClassifier,,,,,50,5,,4,4,2,,entropy,False,,
