rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,462.1603193283081,success,0.13531112670898438,0.0_0.0_0.0_0.0_0.28,0.5_0.5_0.51_0.52_0.5,74.80054478645324,0.055089820359281436,0.47,0.5,0.45,0.58,0.18,0.51,0.39,0.5080226462971621,1746738636.1027818,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,10,0.1,,SelectKBest,,6,585.8348650932312,success,0.02127528190612793,0.34_0.26_0.0_0.59_0.0,0.63_0.63_0.64_0.62_0.63,97.00777888298035,0.2366541650108238,0.54,0.66,0.73,0.79,0.26,0.7,0.68,0.6309875524647294,1746738173.9055429,,RandomForestClassifier,,,,,50,6,,4,1,5,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,1.0,,FunctionTransformer,,,407.50827646255493,success,0.021435546875,0.4_0.22_0.0_0.61_0.0,0.62_0.65_0.63_0.63_0.63,81.3996262550354,0.24621369167027227,0.52,0.65,0.71,0.76,0.28,0.71,0.65,0.6322388934245231,1746737588.0241082,,RandomForestClassifier,,,,,50,6,,4,2,5,,entropy,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.453934669494629,success,0.13234171867370606,0.35_0.42_0.0_0.43_0.19,0.66_0.64_0.65_0.65_0.64,0.17559213638305665,0.27628721746925194,0.48,0.61,0.62,1.0,0.28,0.5,0.56,0.6478985598961098,1746737179.6738448,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,1.0,,PCA,7,,315.4909727573395,success,0.026495599746704103,0.35_0.24_0.0_0.58_0.17,0.64_0.64_0.62_0.63_0.64,62.99378914833069,0.2676052861796314,0.51,0.66,0.73,0.78,0.29,0.72,0.66,0.6340723415231164,1746737177.1866047,,RandomForestClassifier,,,,,100,3,,6,2,4,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,456.0226500034332,success,0.23579668998718262,0.0_0.0_0.0_0.0_0.35,0.51_0.51_0.51_0.5_0.51,90.71024050712586,0.0709090909090909,0.25,0.4,0.57,0.5,0.15,0.51,0.47,0.5084783411171979,1746736861.6633058,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,369.06883573532104,success,0.01746687889099121,0.97_0.6_0.3_0.28_0.0,0.51_0.63_0.63_0.61_0.64,73.72371187210084,0.43017131231724814,0.78,0.78,0.82,0.85,0.44,0.84,0.8,0.6018455892251271,1746736405.6080496,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,368.23317074775696,success,0.0265291690826416,0.42_0.25_0.0_0.54_0.21,0.63_0.64_0.62_0.62_0.67,73.54206562042236,0.2849757846805574,0.53,0.6,0.68,0.8,0.3,0.68,0.7,0.6366176035546823,1746736036.500299,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,554.2286193370819,success,0.2818927764892578,0.0_0.0_0.0_0.41_0.0,0.51_0.53_0.52_0.51_0.51,72.92820601463318,0.08135048231511254,0.61,0.5,0.49,0.59,0.18,0.65,0.46,0.5161259390195657,1746735668.2397256,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,366.99212169647217,success,0.019678926467895506,0.56_0.64_0.61_0.27_0.54,0.65_0.62_0.61_0.61_0.61,73.29927406311035,0.5254439849722675,0.73,0.72,0.77,0.85,0.53,0.82,0.77,0.6232198832649185,1746735113.98092,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,10.701362609863281,success,0.9881371974945068,0.09_0.19_0.1_0.1_0.3,0.67_0.66_0.65_0.68_0.66,0.034312105178833006,0.15548483885797598,0.4,0.39,0.5,1.0,0.16,0.43,0.42,0.6656167307347565,1746734746.9385083,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,7.10530686378479,success,0.015676307678222656,0.26_0.39_0.0_0.3_0.25,0.68_0.7_0.69_0.69_0.67,1.3371135234832763,0.23911797852199515,0.51,0.6,0.58,0.99,0.25,0.6,0.67,0.6868281492474073,1746734735.4813435,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
